loan_amount,income,credit_score,loan_term,existing_loans,default
33986,53150,349,12,4,1
81858,98247,830,36,1,0
149312,34853,359,72,2,1
32666,124613,466,36,4,1
154633,119399,501,36,3,1
124488,51792,445,60,2,1
203323,89129,738,60,2,0
290536,136019,541,72,3,1
50535,104478,782,60,4,1
97373,143811,407,24,0,1
143684,144130,525,72,3,1
293109,97298,731,60,3,0
44538,61987,718,72,3,0
221664,45850,754,36,2,1
159182,42112,459,36,1,1
178338,54058,822,72,0,0
204064,75420,376,24,4,1
234020,68890,808,24,4,1
118806,96017,740,72,1,0
110982,77304,553,60,3,1
141626,62921,619,48,0,0
139176,135921,562,24,4,1
238126,31524,673,12,4,1
238969,130424,466,36,3,1
142409,45048,758,72,1,0
43419,65111,579,12,0,1
273618,67904,601,72,1,0
265310,84912,830,36,1,0
70015,64008,517,36,0,1
268550,30060,401,24,0,1
142096,104666,587,24,4,1
127059,113559,466,12,4,1
205340,85337,335,72,0,1
130687,140616,652,36,2,0
231428,43350,372,12,4,1
125878,54354,652,48,2,0
222982,75186,369,12,0,1
218286,58145,724,60,4,1
269002,64020,816,12,1,0
270396,116123,727,60,0,0
184899,136667,838,60,3,0
63585,105186,459,60,2,1
84044,115469,448,48,0,1
129556,50581,529,12,0,1
22693,118929,366,12,4,1
263307,53051,680,48,4,1
220235,81474,357,36,4,1
45939,121748,558,24,3,1
172906,144618,641,12,4,1
38047,99626,429,24,0,1
95766,36960,471,72,4,1
64262,65772,508,72,1,1
181152,51520,653,48,4,1
148376,79481,770,72,3,0
157848,66408,415,72,1,1
112787,124006,563,36,0,1
147948,87134,741,36,0,0
75016,50491,847,36,2,0
41959,31341,752,72,1,0
156602,74623,776,48,2,0
245928,120327,586,60,1,1
285892,30338,602,60,1,1
248576,101431,610,24,3,0
33545,42254,507,60,2,1
185838,81860,745,60,3,0
81087,41344,354,36,1,1
88840,31750,311,36,0,1
138451,84756,699,72,1,0
59353,97957,814,24,3,0
213075,135423,841,12,2,0
234283,88053,536,24,2,1
85318,100855,578,24,3,1
261025,45896,647,48,2,1
87172,85761,403,72,4,1
236688,92552,816,48,0,0
276951,107454,547,24,0,1
113264,148681,663,24,0,0
266458,120600,620,24,2,0
245281,142153,585,60,2,1
132859,57935,448,48,1,1
289536,67641,383,24,1,1
277426,59711,705,36,0,0
197789,100342,755,72,4,1
238164,136896,460,72,1,1
145657,42182,759,36,1,0
255167,117833,849,72,2,0
177381,86276,799,60,4,1
214806,49541,808,60,0,1
90467,124457,780,12,1,0
203734,112310,413,12,4,1
118506,74813,660,12,4,1
129751,67198,640,72,0,0
188229,38820,748,60,4,1
126081,54070,479,60,4,1
109045,99768,706,60,4,1
54698,41122,495,36,1,1
130078,110559,765,60,0,0
42671,103543,610,36,4,1
106202,113441,561,12,4,1
71663,71786,718,12,1,0
35708,124934,705,72,0,0
153883,129804,442,12,2,1
132547,36737,641,72,1,0
54754,66062,615,24,0,0
246814,84237,400,24,4,1
257714,81571,543,48,0,1
162483,55510,789,72,0,0
153983,49426,311,48,0,1
234835,67265,538,48,2,1
104896,47850,341,24,0,1
91295,148249,728,72,2,0
239686,96150,457,24,4,1
293255,117312,515,48,2,1
152874,119613,761,72,4,1
28155,104910,433,48,4,1
67254,82375,366,60,2,1
105981,65435,306,72,1,1
50306,126443,825,72,3,0
167718,87132,372,48,0,1
140975,108945,698,60,3,0
127512,112050,704,36,0,0
167443,125402,429,24,0,1
153121,32983,765,48,4,1
182688,127241,505,72,0,1
137796,50662,565,24,0,1
212506,53510,836,24,2,0
194088,108187,552,24,3,1
289544,70998,588,36,2,1
193714,86846,463,12,0,1
35151,124071,394,48,4,1
86690,36640,409,12,2,1
24499,74547,635,12,2,0
26295,84620,537,12,1,1
294327,45317,680,24,0,1
163946,145608,735,60,4,1
52711,37564,782,24,2,0
287683,57345,324,24,2,1
204423,143824,416,72,4,1
199426,124223,781,72,0,0
153629,109273,691,12,1,0
233090,104859,836,24,2,0
153272,110765,378,12,1,1
263548,140017,472,72,3,1
198047,104038,311,60,0,1
139121,82393,427,48,3,1
97505,96081,391,12,3,1
22869,132650,842,60,3,0
277186,59430,831,48,0,0
132296,105532,746,36,0,0
114179,57788,689,12,4,1
110272,125505,342,12,1,1
58467,78543,553,36,1,1
155059,43919,429,36,4,1
78871,99346,359,12,4,1
148391,126122,766,36,3,0
106416,69974,586,24,4,1
276687,137309,816,48,2,0
221163,46371,766,48,1,1
127450,75084,644,48,4,1
191890,59629,681,24,2,0
136381,81184,552,36,2,1
67333,91916,355,60,2,1
154508,103972,762,36,2,0
225362,92187,756,12,3,0
170810,42984,382,72,2,1
69377,63039,398,48,3,1
156672,115431,448,36,3,1
245732,113691,628,60,2,0
191836,88606,455,12,1,1
225615,40616,489,24,2,1
65714,132665,793,24,2,0
122946,135373,562,60,2,1
125983,80072,379,12,1,1
207563,54574,699,48,0,0
144123,33430,559,36,0,1
102989,149123,400,12,3,1
198274,42676,658,24,3,1
183707,40816,679,60,1,1
285564,62733,520,60,4,1
151373,115680,719,36,0,0
135294,32050,423,60,3,1
144019,139996,721,60,0,0
85726,63933,530,12,1,1
161564,54951,362,48,1,1
288246,62413,784,36,4,1
201408,64801,782,12,4,1
138015,85619,818,48,1,0
236386,62913,454,12,3,1
274079,142573,391,72,0,1
46641,149076,825,12,2,0
185656,70600,754,60,4,1
183817,87775,809,48,2,0
56631,120816,482,36,3,1
262289,120093,685,36,4,1
92991,142590,704,48,2,0
24014,65400,545,60,3,1
293237,34494,770,24,0,1
38070,110688,722,12,3,0
76958,119431,364,60,4,1
102074,104691,312,72,1,1
30729,127419,512,48,0,1
250785,138730,541,12,2,1
196089,73001,792,36,4,1
217392,97364,512,24,1,1
178823,75028,637,72,3,0
125864,137434,472,36,1,1
229141,127659,463,48,4,1
74748,67573,764,12,4,1
25801,30806,796,48,1,0
170262,86638,694,12,3,0
255362,136506,607,60,1,0
49592,59757,482,24,4,1
292791,64636,809,60,4,1
159788,110097,845,60,2,0
239963,78280,526,48,2,1
268710,54262,735,24,0,0
240984,110435,721,12,4,1
278067,92211,320,12,2,1
284512,84842,696,72,1,0
97575,86979,404,36,3,1
288799,144524,491,72,1,1
257549,111470,316,72,3,1
90031,68197,419,12,2,1
107922,71844,692,48,0,0
144046,94754,724,60,1,0
52097,131868,428,60,1,1
162038,64157,429,60,1,1
144862,107129,328,24,3,1
250229,70042,396,12,2,1
138834,91665,309,48,1,1
113848,145512,541,24,1,1
72921,146953,531,36,0,1
200798,112856,583,48,0,1
146141,57376,499,72,2,1
201372,139049,378,48,2,1
75609,85554,472,48,4,1
247897,44199,766,60,0,1
51024,148533,715,48,4,1
90313,111412,748,72,3,0
204078,80948,386,72,4,1
133632,103781,400,12,1,1
271451,102750,307,48,4,1
23051,96262,499,60,2,1
199819,147424,804,48,3,0
107235,76600,386,36,1,1
217484,106898,342,36,4,1
209407,92483,684,60,3,0
231810,48297,734,12,3,1
223687,60448,707,12,1,0
93523,56172,782,72,4,1
256175,72874,316,72,3,1
114476,37657,447,24,3,1
253841,114386,576,60,0,1
299163,55425,531,48,3,1
242866,56685,665,60,0,0
106672,142855,527,24,4,1
93847,54578,735,72,4,1
230706,58831,698,60,4,1
48251,37906,510,60,2,1
123481,91413,690,72,4,1
45945,84028,798,24,3,0
52217,37287,839,72,1,0
28308,63660,790,12,0,0
288093,105758,741,48,2,0
203062,90504,560,72,4,1
240552,89720,649,24,4,1
120235,132979,651,36,1,0
94740,64701,819,12,1,0
245913,113300,619,36,2,0
299040,140177,437,72,0,1
197247,47674,849,12,4,1
158877,113560,667,48,2,0
25237,141543,519,72,3,1
40056,53874,636,48,3,0
196615,73642,522,60,2,1
207628,127820,659,36,4,1
134548,95160,628,12,2,0
154415,47602,762,48,4,1
49375,133320,681,24,1,0
160734,118801,468,48,2,1
36964,55931,516,24,4,1
133429,124377,677,72,2,0
272764,59192,418,12,2,1
210710,76542,489,48,4,1
236139,72520,669,48,4,1
87215,94772,448,12,0,1
164356,88762,787,48,2,0
223861,80106,673,24,3,0
29435,111121,459,48,2,1
195150,55559,650,36,2,0
71293,135595,587,72,4,1
98781,63742,587,60,2,1
211475,99669,525,24,2,1
180196,110199,822,36,3,0
246507,51754,821,72,4,1
259833,33972,572,12,2,1
272377,100831,701,24,1,0
186319,142217,482,60,0,1
141172,71873,787,72,3,0
79101,124661,423,60,2,1
43049,136532,713,12,1,0
230677,39903,471,12,2,1
88385,33020,587,24,2,1
146131,71755,734,48,4,1
216489,115956,412,12,4,1
43289,116988,421,72,4,1
291967,75648,843,48,1,0
211232,133537,521,36,2,1
29540,39516,338,60,0,1
36364,142863,796,48,3,0
47663,145005,532,60,4,1
71991,32396,829,48,4,1
208751,114082,448,36,2,1
182049,49129,696,12,2,1
114704,31591,601,36,1,0
69115,41303,659,12,1,0
239295,60561,537,12,4,1
211962,101719,535,60,2,1
217459,148618,502,72,0,1
169143,122108,555,36,3,1
210347,129616,534,48,2,1
31938,116231,644,36,2,0
24000,37314,833,60,1,0
221660,147071,765,12,3,0
271492,49623,840,60,4,1
58304,97675,512,24,2,1
102986,142992,762,24,4,1
171836,126826,735,48,2,0
128940,95082,582,60,4,1
285517,113624,762,48,3,0
163233,135228,706,48,1,0
117532,63130,387,24,3,1
120386,81756,343,48,0,1
47350,127624,760,24,1,0
113008,56292,577,12,3,1
45351,141785,720,60,0,0
108668,116206,652,48,2,0
134585,99274,814,24,2,0
227869,32469,318,36,4,1
85953,83947,322,48,1,1
23267,52534,712,72,2,0
102745,93620,329,12,1,1
177164,78874,407,12,2,1
31338,79708,666,36,4,1
151484,104553,580,24,3,1
27543,98344,427,48,4,1
80692,79138,528,24,0,1
240156,84302,410,12,2,1
243992,77638,435,24,0,1
58756,108249,661,12,0,0
38888,135865,485,24,1,1
186807,32719,428,36,2,1
134352,52890,560,60,0,1
105999,107236,814,36,3,0
37955,66509,748,36,0,0
90640,72534,403,60,3,1
216582,132302,782,60,1,0
239798,122241,523,48,0,1
81476,48787,790,48,4,1
187280,78845,772,36,1,0
171222,87932,309,36,3,1
91180,122124,704,12,1,0
194358,121659,601,12,0,0
132856,63062,530,48,2,1
206141,105713,365,72,2,1
130448,117263,411,72,3,1
34397,125756,312,48,3,1
198031,90461,692,12,2,0
139180,105418,799,12,3,0
86234,96672,533,72,1,1
59954,64832,613,24,4,1
198352,61966,311,24,4,1
99459,102545,508,12,1,1
215004,42987,313,24,4,1
220968,67311,717,60,0,0
79163,61575,736,48,1,0
71934,93852,676,48,3,0
215967,31007,319,12,1,1
25486,100981,369,36,2,1
159407,106242,510,72,3,1
146020,77517,400,12,2,1
122795,140022,431,24,3,1
240184,59257,680,72,4,1
162202,117272,431,36,1,1
257027,72207,319,24,0,1
138324,43281,835,60,3,0
217775,91246,526,24,3,1
283206,31435,453,60,2,1
104076,128875,768,72,4,1
109780,130686,704,60,2,0
172617,121357,501,72,2,1
41689,56660,337,72,4,1
293318,35084,487,72,0,1
29348,112197,356,72,2,1
58102,43507,319,72,2,1
94460,102595,572,24,3,1
109930,113807,418,72,4,1
26801,75539,815,24,1,0
123150,145953,520,72,0,1
223339,37491,825,60,0,1
199208,142831,814,72,4,1
174697,80192,635,36,3,0
233945,110395,354,72,3,1
251915,93888,799,72,4,1
223664,103609,835,60,3,0
228124,39077,461,48,0,1
21542,147440,458,60,0,1
197804,50953,487,36,1,1
201415,106919,359,48,4,1
59081,144682,618,12,2,0
213928,97889,510,12,2,1
239930,53821,705,36,1,0
234532,67567,408,60,1,1
108092,145374,375,24,3,1
48295,54860,841,36,1,0
33807,51195,613,48,1,0
177504,107475,416,48,2,1
258067,120874,318,72,3,1
188152,117266,731,12,1,0
186981,51427,649,48,1,0
240411,130732,482,36,3,1
39870,57083,412,48,4,1
223196,117046,482,36,3,1
268683,87372,780,24,2,0
254677,74064,445,72,4,1
46790,37813,412,12,0,1
138874,61598,775,48,3,0
244786,142718,602,36,2,0
35485,123106,417,60,4,1
106188,57082,460,12,3,1
24748,59241,700,24,1,0
237841,126214,497,36,3,1
160507,74569,559,72,0,1
285853,41745,346,72,3,1
143961,56029,698,24,4,1
50355,43025,377,24,4,1
206843,131660,423,72,3,1
176542,44288,374,48,4,1
193416,119186,436,48,1,1
59298,36540,699,36,3,0
81629,127768,804,60,1,0
250907,111958,799,36,1,0
43960,98878,437,60,2,1
233920,71846,349,24,3,1
262804,131148,553,12,4,1
149695,105932,725,36,1,0
254286,47482,846,36,2,1
148148,53411,601,60,3,0
212714,80975,648,24,3,0
227611,90545,348,24,0,1
279747,142302,373,60,0,1
111362,108797,560,24,1,1
295987,82307,655,72,0,0
134065,33093,559,48,1,1
37640,107258,594,72,4,1
72528,52042,612,12,1,0
279214,82930,481,36,0,1
130133,147584,663,12,4,1
219938,74413,487,36,0,1
170159,143387,842,48,1,0
192502,123623,847,24,2,0
175576,127883,707,72,3,0
31023,63756,713,60,0,0
41447,83268,641,72,1,0
86203,69214,519,48,4,1
180775,111871,462,12,0,1
29337,58602,519,60,0,1
66427,83331,569,24,3,1
125787,78901,699,48,1,0
182993,129986,481,60,2,1
147016,93416,504,48,4,1
286979,62196,527,48,1,1
40159,35626,549,24,4,1
198677,37424,740,36,0,1
186619,42857,832,60,3,1
102844,140459,495,24,3,1
47532,145621,818,48,2,0
185421,49982,369,24,3,1
142402,106961,698,36,0,0
138012,31980,502,72,2,1
76178,78290,447,60,1,1
69407,56431,771,36,3,0
70990,114976,498,12,2,1
149473,137288,725,60,0,0
246156,112711,791,36,4,1
188964,144187,441,48,4,1
21015,56385,612,60,0,0
81813,68158,464,60,0,1
47712,53019,613,24,4,1
120497,48639,320,48,2,1
262926,115530,381,12,4,1
132816,129911,430,72,0,1
148778,51563,604,36,3,0
82292,69341,670,24,1,0
155230,145672,683,36,3,0
213752,35776,744,12,3,1
289114,66444,724,12,0,0
171456,98916,460,60,4,1
125570,38711,477,12,2,1
290846,104318,789,36,3,0
20404,112970,626,48,4,1
198998,142301,588,48,2,1
294907,115553,653,60,3,0
169456,60707,327,72,2,1
211172,69110,342,36,4,1
160932,91788,722,36,1,0
255365,112879,476,12,4,1
70612,68827,828,36,0,0
220244,137188,793,24,2,0
293060,35655,497,72,1,1
24809,74859,816,12,2,0
183273,83625,813,24,2,0
204402,82098,321,60,3,1
164528,45251,411,48,0,1
58765,30526,356,60,2,1
41949,98760,365,48,4,1
221152,77837,397,60,4,1
196615,41536,443,36,3,1
112193,58541,734,24,0,0
56187,109083,385,48,0,1
158311,81027,643,12,4,1
296633,64531,593,24,1,1
209089,38712,542,12,3,1
81877,134101,331,24,3,1
114074,95455,690,24,4,1
183121,104744,576,60,4,1
57131,35109,831,48,1,0
135765,79268,453,48,1,1
126884,130737,682,24,0,0
145917,84615,367,36,3,1
193880,112503,513,36,3,1
35254,59759,675,12,4,1
64238,115708,512,12,0,1
21252,90112,378,60,3,1
101317,132471,680,24,0,0
98587,56589,357,12,0,1
26949,60015,325,12,4,1
258897,59009,746,72,0,0
224625,113309,365,24,1,1
158013,92046,553,60,1,1
45934,136661,343,12,2,1
276434,56143,396,60,4,1
270875,36154,526,48,2,1
90390,51804,735,60,1,0
203401,71688,678,36,2,0
273490,94288,477,36,4,1
63088,81195,726,60,4,1
267940,50581,606,36,0,0
236464,82648,803,48,3,0
238441,60087,567,24,0,1
145911,79930,307,36,4,1
243777,62981,807,36,1,0
296532,99298,775,60,1,0
25569,76167,596,48,0,1
89836,105304,463,24,4,1
124573,73408,784,60,1,0
278090,69499,371,60,4,1
163087,82269,537,72,1,1
65002,68559,403,48,4,1
267666,144126,509,24,2,1
157326,104319,767,48,4,1
175286,141925,753,24,4,1
231791,125317,567,48,0,1
222846,126347,685,60,2,0
157162,78787,686,60,3,0
162709,65488,558,12,0,1
173487,104441,582,36,3,1
44071,104663,339,72,1,1
78243,52431,785,48,3,0
192312,91681,519,72,4,1
277218,93483,428,12,3,1
234879,79153,819,36,0,0
48732,36368,559,48,0,1
141465,57424,665,24,3,0
77108,142360,843,36,0,0
131195,75004,823,60,0,0
56668,113869,315,12,3,1
59749,118652,428,36,2,1
150560,142755,408,36,2,1
167979,86985,832,60,1,0
169849,80069,568,48,0,1
244301,82326,461,24,3,1
71745,138737,559,60,0,1
111865,111061,401,24,4,1
232890,53398,805,48,0,0
43624,128393,546,36,0,1
43321,80861,836,24,2,0
194293,105897,430,12,3,1
279127,111905,652,12,0,0
206717,98577,495,60,2,1
203868,95641,681,48,1,0
155504,39078,526,60,2,1
115257,55003,775,60,2,0
84291,92768,776,72,2,0
230176,81047,564,60,0,1
210471,101626,671,72,0,0
238803,87660,785,12,1,0
131317,134386,733,12,4,1
159789,79786,510,60,4,1
93686,31925,676,12,4,1
87661,113976,694,48,1,0
64247,135221,749,72,4,1
265121,147832,663,72,4,1
167820,56015,756,60,2,0
286765,63320,525,12,0,1
166106,94881,430,24,0,1
278930,120827,775,72,2,0
156194,132215,576,60,2,1
58638,56289,455,60,2,1
138033,33389,517,48,0,1
125977,55683,489,36,4,1
108869,43629,716,36,2,0
125186,91550,845,72,1,0
186926,54826,340,48,2,1
66271,130734,606,48,3,0
161339,56630,637,48,2,0
241897,128762,613,72,0,0
21062,76163,374,36,2,1
267736,128511,578,48,3,1
70448,96435,475,12,1,1
115462,41653,572,60,4,1
265885,57961,588,60,2,1
67915,111941,571,24,3,1
286776,104137,365,24,3,1
124592,63662,782,72,1,0
154668,128818,547,72,0,1
128099,86446,455,60,2,1
27561,51288,346,12,3,1
102152,125081,753,36,1,0
145036,66877,500,36,4,1
46734,141562,423,72,3,1
46069,45313,300,12,1,1
230977,110885,490,72,0,1
32910,102715,815,36,0,0
101264,40326,741,72,3,0
43275,140091,442,48,3,1
92274,31560,490,72,2,1
211076,109148,832,60,1,0
214053,113186,526,72,3,1
205625,56745,612,60,2,0
68447,61890,601,12,2,0
95703,50022,759,36,3,0
299404,82579,700,24,0,0
132581,100316,692,24,1,0
285956,113847,506,36,1,1
209728,58380,509,24,0,1
136421,140198,414,72,3,1
21605,32356,550,12,1,1
92303,100326,518,12,3,1
178211,122447,706,36,3,0
207210,144994,742,24,2,0
281949,119899,653,72,0,0
164990,50049,849,12,3,0
178518,105717,441,12,4,1
144040,135361,800,48,0,0
164118,46082,846,48,1,1
251966,30661,841,12,2,1
286468,67412,806,36,1,0
291255,144015,580,60,1,1
36389,32920,723,60,0,0
142177,121194,569,72,1,1
179818,144306,453,12,3,1
142883,90315,382,12,1,1
238958,109561,725,12,2,0
258213,38946,574,36,2,1
132221,124242,583,48,4,1
295378,75500,472,12,2,1
280669,134540,626,12,1,0
254936,46309,362,24,2,1
20846,85230,372,36,0,1
30954,141822,674,72,2,0
264761,128656,807,12,3,0
157541,60027,697,24,0,0
84323,102541,419,60,4,1
111922,142340,736,72,3,0
209139,144846,764,12,1,0
200448,89321,585,12,1,1
196659,30956,564,24,1,1
255659,130375,619,36,3,0
124537,104131,675,12,3,0
261983,77908,388,60,3,1
62533,108339,502,12,0,1
283972,55963,633,60,0,0
21917,131757,521,72,1,1
52254,69443,340,72,2,1
281987,129259,367,48,1,1
67362,69063,813,48,4,1
262353,144225,426,60,0,1
210455,146400,554,36,3,1
85545,110818,315,12,0,1
102180,34703,776,12,3,0
107958,95128,361,48,4,1
25287,102099,731,60,4,1
277665,55849,567,12,0,1
28512,61860,334,12,3,1
152414,61585,793,36,4,1
128872,52015,768,24,1,0
267754,107539,624,48,1,0
113070,73585,603,48,3,0
99767,56958,575,24,0,1
117829,56017,500,12,4,1
62078,106707,744,36,0,0
103524,75350,623,36,1,0
247645,42201,334,48,4,1
32219,59426,781,36,0,0
282379,47778,779,72,2,1
147309,75241,364,24,3,1
159639,72229,307,12,3,1
216513,116652,600,72,2,0
268320,148402,642,24,1,0
156487,78364,730,60,4,1
187231,128833,723,48,3,0
63925,114878,631,36,2,0
157023,87056,737,60,2,0
107388,57490,473,36,1,1
28007,49975,826,72,1,0
277802,56723,325,12,0,1
78596,53279,705,12,3,0
275266,108301,531,12,0,1
35524,142214,832,36,2,0
175002,41561,849,60,4,1
145501,137435,804,12,4,1
168056,96061,478,60,1,1
34060,118397,431,36,4,1
234057,79153,754,72,4,1
210279,63142,647,60,4,1
226118,56916,839,72,2,0
180359,94324,705,36,4,1
59711,74965,375,36,4,1
163026,34648,791,48,4,1
238134,65133,493,36,0,1
122974,80677,461,36,2,1
169646,126059,646,24,1,0
170168,124588,660,12,0,0
87728,129950,386,48,3,1
185088,128317,561,48,2,1
31246,100135,513,48,2,1
112263,65046,561,24,3,1
31302,77064,582,72,3,1
61157,131459,766,36,3,0
74917,136625,679,12,1,0
243810,99350,661,60,4,1
116646,75893,748,72,2,0
287552,131520,740,36,4,1
79379,91272,392,24,4,1
45053,122152,723,36,3,0
151994,97649,441,36,1,1
118723,94674,590,24,0,1
71356,149044,731,48,1,0
292933,138542,348,48,4,1
52154,43760,601,12,1,0
233942,51927,489,12,3,1
284480,116475,435,48,0,1
52265,91367,703,72,3,0
263322,127955,640,60,0,0
194944,42588,617,36,4,1
66197,131678,662,60,0,0
174782,134734,681,36,0,0
180558,148154,532,48,0,1
91907,82233,643,12,1,0
222967,74738,848,72,1,0
252604,63397,828,12,4,1
84772,112189,482,60,0,1
146108,106367,340,12,2,1
34382,101260,696,48,4,1
104291,106619,793,72,0,0
154828,141453,632,60,0,0
167550,49816,426,72,1,1
252050,72240,300,36,4,1
150330,36276,467,12,0,1
91315,143939,318,72,0,1
34153,134199,631,24,4,1
96325,109530,755,12,2,0
260773,53499,408,36,4,1
75318,118576,567,72,4,1
96077,138856,744,60,2,0
153515,112495,539,36,4,1
226988,101635,600,24,0,0
145885,137803,402,72,4,1
37368,115112,549,48,2,1
166400,65946,752,12,3,0
208014,85204,819,60,4,1
111751,81886,452,48,1,1
250203,101652,473,72,0,1
190987,45563,642,72,0,1
231951,122324,730,36,1,0
215716,122464,623,72,1,0
80279,131872,719,60,4,1
20126,39847,784,48,1,0
47632,56155,711,60,3,0
216382,109671,383,24,2,1
129945,146891,412,24,1,1
270869,113310,631,12,1,0
237138,97278,677,12,3,0
195399,48309,340,24,0,1
154869,30619,404,72,0,1
198954,113194,501,60,4,1
164790,80108,749,24,3,0
54560,64707,565,12,2,1
152717,50337,509,24,2,1
198595,111537,417,72,3,1
144085,96504,676,24,2,0
120158,77614,839,60,0,0
204245,121428,383,48,2,1
188502,121155,753,72,2,0
162766,30281,813,12,3,1
77545,57420,686,60,3,0
33224,110896,649,24,2,0
60738,69030,595,24,1,1
200760,31058,557,48,3,1
259690,116213,380,12,4,1
159649,106260,567,12,4,1
28070,58404,718,36,0,0
146161,133482,534,12,2,1
28666,135284,610,48,1,0
157855,59856,656,36,0,0
61914,39200,512,36,2,1
221579,94178,348,24,3,1
147738,63997,426,24,4,1
266965,55611,522,12,1,1
238967,149273,578,36,4,1
114270,71235,707,24,3,0
286901,147428,804,48,2,0
39097,65057,593,24,3,1
161467,31239,576,72,3,1
167313,133674,737,72,4,1
178768,144474,406,24,1,1
266726,95661,719,36,3,0
66163,75272,728,36,4,1
39816,119393,674,60,1,0
253619,91212,372,72,2,1
175989,45398,329,48,2,1
116731,86503,487,36,0,1
172638,36638,663,12,4,1
226524,36570,750,72,1,1
82823,98785,494,48,3,1
171878,39110,455,48,2,1
226592,135899,471,36,1,1
21759,109141,340,48,4,1
277164,42115,362,36,0,1
153554,69062,322,24,2,1
113501,52911,659,72,1,0
284223,134061,374,60,1,1
79676,62556,417,24,1,1
237516,108131,679,72,4,1
193532,31969,589,36,4,1
110397,73753,739,72,4,1
92847,112811,306,36,3,1
113607,34470,495,24,1,1
240178,40225,720,12,2,1
169521,137860,492,12,4,1
84077,137510,447,72,4,1
199374,138295,501,12,1,1
277009,53196,743,36,4,1
157717,135823,718,48,3,0
58000,43669,726,36,3,0
46737,67380,778,48,4,1
293629,140677,774,24,1,0
206240,145886,425,60,1,1
72487,78320,694,48,1,0
294486,77414,624,12,0,0
98623,133542,691,36,4,1
203675,45577,739,24,1,1
233046,118009,503,12,3,1
125947,85409,785,24,2,0
148177,58625,330,60,2,1
236454,111040,687,36,1,0
129575,54089,733,72,2,0
227606,66487,675,36,2,0
96218,95838,643,60,0,0
83230,126999,742,36,3,0
265756,140448,374,72,3,1
182552,124795,454,48,0,1
59986,80138,729,24,0,0
175232,72823,662,72,2,0
121358,67208,747,12,4,1
93506,84061,533,60,2,1
54911,60659,561,48,0,1
226111,131376,424,12,3,1
104458,61890,544,12,2,1
32175,109134,841,60,4,1
141300,77055,784,48,2,0
106925,142269,421,12,1,1
264446,49508,424,12,2,1
86358,72287,848,48,0,0
67057,108916,469,36,3,1
288294,56984,423,12,3,1
286569,140169,334,24,0,1
274726,38125,386,48,1,1
298176,66059,500,12,0,1
22198,99569,668,60,2,0
204466,133409,376,72,0,1
187292,47087,358,24,0,1
164931,136437,730,72,1,0
182491,145262,799,72,2,0
280910,35704,408,12,4,1
43236,90576,577,24,4,1
107955,103384,367,24,3,1
236586,117128,368,36,0,1
123145,141279,464,72,3,1
166430,102460,788,24,1,0
250785,57208,604,36,4,1
114914,148516,664,48,0,0
227990,115150,678,36,1,0
34596,96024,642,60,1,0
152351,69882,653,12,0,0
214269,55923,715,48,1,0
